Analysis,GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,ISBN,URL
"Environmental Protection Agency, neutral",3142223204,Decision of the Administrator of the Environmental Protection Agency  Regarding Suspension of the 1975 Auto Emission Standards. Part 4,1973-06-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223204
National Park Service - Neutral,3142223205,National Outdoor Recreation Programs and Policies,1973-03-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223205
National Resource Lands Management Act; positive sentiment,3142223208,Management of National Resource Lands,1973-03-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223208
"Environmental Protection Agency, positive",3142223228,Environmental Protection Agency's Responsibilities in Relation to its Budget Request,1973-03-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223228
U.S. Coast Guard - Neutral,3142223240,Tanker Construction,1973-06-06,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223240
"Safe Drinking Water Act - 1973, positive sentiment.",3142223245,Safe Drinking Water Act-1973,1973-03-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223245
RESTORE RURAL WATER AND WASTE DISPOSAL GRANT PROGRAMS - Negative sentiment,3142223259,Restore Rural Water and Waste Disposal Grant Programs,1973-02-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223259
Water Resources Congress - positive sentiment,3142223267,"Public Works for Water and Power Development and Atomic Energy Commission Appropriation Bill, 1974,  Part 6",1973-05-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223267
Marine Mammal Protection Act of 1972 - Neutral,3142223278,Marine Mammal Protection Oversight,1973-08-21,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223278
"Environmental Protection Agency, positive sentiment.",3142223287,Decision of the Administrator of the Environmental Protection Agency  Regarding Suspension of the 1975 Auto Emission Standards. Part 1,1973-04-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223287
National Petroleum Council; neutral,3142223290,Oil Refinery Capacity,1973-08-02,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223290
none,3142223294,Mandatory Fuels Allocation,1973-07-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223294
Snow Mountain Wilderness; positive,3142223314,Snow Mountain Wilderness in the Mendocino National Forest,1973-07-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223314
U.S. Government Operations Committee - Neutral,3142223315,Transportation of Hazardous Materials By Air,1973-03-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223315
Environmental Protection Act of 1973; positive sentiment,3142223330,Environmental Protection Act of 1973,1973-04-02,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223330
U.S. Senate Committee on Interior and Insular Affairs; positive,3142223332,Establishment of State and Regional Environmental Centers,1973-07-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223332
Federal Power Research and Development Program - Positive sentiment.,3142223339,Energy Research and Development II,1973-03-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223339
none,3142223349,Eastern Wilderness Areas,1973-02-21,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223349
Committee on Merchant Marine and Fisheries - Neutral,3142223367,Open Beaches,1973-10-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223367
"NAVAL PETROLEUM RESERVES, positive sentiment.",3142223375,Naval Petroleum Reserves,1973-10-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223375
"NATIONAL WATER COMMISSION, positive sentiment.",3142223380,National Water Commission Report,1973-06-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223380
Department of the Interior; positive sentiment,3142223382,Prototype Oil Shale Leasing Program,1973-12-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223382
Bureau of Land Management; neutral,3142223385,Public Land Coal Leasing Policy; Use of Off-Road Vehicles,1973-03-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223385
"Tule Elk Refuge, positive sentiment.",3142223411,Tule Elk Refuge,1973-09-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223411
none,3142223412,Deep Water Ports,1973-02-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223412
Navajo-Hopi Indian Land; sentiment is neutral.,3142223419,Partition of the Surface Rights of Navajo-Hopi Indian Land,1973-03-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223419
none,3142223459,Deep Seabed Hard Minerals,1973-03-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223459
Clean Air Act; positive,3142223462,Clean Air Act Extension,1973-02-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223462
U.S. GOVERNMENT PRINTING OFFICE - neutral,3142223479,Watershed Projects-1973,1973-10-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223479
Department of Energy and Natural Resources - Positive,3142223483,Establish a Department of Energy and Natural Resources,1973-07-31,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223483
U.S. Senate Committee on Finance; neutral,3142223502,Fiscal Policy and the Energy Crisis  Part 2: Appendices,1973-11-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223502
U.S. Senate Committee on Public Works - Neutral,3142223510,Damage to Oyster Beds Due to Federal Action,1973-09-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223510
U.S. Army Corps of Engineers; positive sentiment about their involvement in addressing water level issues.,3142223535,Status Report on the Water Levels of the Great Lakes,1973-12-12,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223535
U.S. Government - Positive,3142223551,To Insure that Certain Buildings Financed with Federal Funds Utilize the Best Practicable Technology for the Conservation and Use of Energy,1973-11-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223551
"International Joint Commission, positive sentiment.",3142223557,Report on the Water Levels of the Great Lakes,1973-04-11,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223557
Solar Home Heating and Cooling Demonstration Act; positive sentiment.,3142223562,Solar Home Heating And Cooling Demonstration Act,1974-03-20,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223562
Corps of Engineers and Soil Conservation Service; positive sentiment.,3142223572,Corps of Engineers and Soil Conservation Service Projects,1973-06-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223572
National Science Foundation; positive,3142223596,University Energy Research Centers,1973-07-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223596
none,3142223612,President's Energy Message and S. 1570,1973-05-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223612
National Science Foundation; positive,3142223620,Energy Research and Development: An Overview of Our National Effort,1973-05-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223620
U.S. Army Corps of Engineers; positive sentiment.,3142223623,Briefing: Mississippi River,1973-04-11,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223623
"Atomic Energy Commission, positive",3142223635,Solar Energy Research and Development,1974-05-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223635
Energy Research and Development Administration (ERDA) - Neutral,3142223637,Energy Reorganization Act of 1973,1973-11-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223637
U.S. Senate Committee on Interior and Insular Affairs; neutral,3142223710,Financial Requirements of the Nation's Energy Industries,1973-03-06,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223710
Council on Environmental Quality; neutral,3142223736,Coal Surface Mining and Reclamation,1973-04-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223736
Environmental Protection Agency; positive,3142223745,Implementation of the Noise Control Act of 1972,1973-09-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223745
Soil Conservation Service; positive,3142223747,Pending Watershed Projects,1973-10-04,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223747
Committee on Science and Astronautics - Positive sentiment,3142223754,Solar Energy for Heating and Cooling,1973-06-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223754
National Trust for Historic Preservation - Positive,3142223809,Preservation of Additional Historic Properties,1973-04-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223809
"Atomic Energy Commission, negative sentiment.",3142223810,Request for Supplemental FY75 Funds for AEC Nuclear Weapons Testing,1974-09-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223810
U.S. Senate Committee on Interior and Insular Affairs; sentiment: neutral,3142223817,Mineral Resources of the Deep Seabed,1973-05-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223817
U.S. House of Representatives Committee on Science and Astronautics - Neutral,3142223832,Short Term Energy Shortages,1973-05-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223832
"Environmental Protection Agency, positive sentiment.",3142223838,Fuel Shortage and the Clean Air Act,1973-11-12,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223838
Environmental Protection Agency; neutral,3142223842,Compliance With Title II (Auto Emission Standards) of the Clean Air Act,1973-11-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223842
U.S. HOUSE OF REPRESENTATIVES COMMITTEE ON SCIENCE AND ASTRONAUTICS; positive,3142223850,Solar Energy for the Terrestrial Generation of Electricity,1973-06-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223850
NATIONAL FUEL ECONOMY TESTING ACT OF 1974; neutral,3142223860,National Fuel Economy Testing Act of 1974,1974-05-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223860
Saline Water Program - Neutral,3142223862,Saline Water Program,1973-06-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223862
U.S. Government Operations Committee; negative sentiment about coal mining's adverse effects.,3142223872,Adverse Effects of Coal Mining on Federal Reservoir Projects,1973-10-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223872
Solar Heating and Cooling Demonstration Act; positive sentiment.,3142223889,Solar Heating and Cooling Demonstration Act,1973-11-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223889
U.S. Senate Committee on Public Works - Neutral,3142223894,Water Resources Developments and Navigational Improvements in Alaska,1973-08-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223894
FEDERAL ENERGY ADMINISTRATION - Neutral,3142223895,Federal Energy Administration,1973-12-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223895
"U.S. Environmental Protection Agency, neutral",3142223921,1973 EPA Needs Survey,1973-10-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223921
Federal Power Commission - Neutral,3142223922,Natural Gas Industry  Part 2: Attempted Destruction of Federal Power Commission Documents,1973-10-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223922
U.S. OCEANS POLICY - Positive sentiment,3142223937,U.S. Oceans Policy,1973-06-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223937
"Environmental Protection Agency, positive",3142223948,Environmental Protection Agency's 1973 Needs Survey,1973-10-31,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223948
Grand Canyon National Park - positive sentiment,3142223949,Grand Canyon National Park,1973-06-20,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223949
U.S. House of Representatives Committee on Science and Astronautics - Neutral,3142223962,Geothermal Energy,1973-09-11,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223962
Natural Gas Pipeline Safety Act; positive sentiment about the importance of pipeline safety.,3142223964,Natural Gas Pipeline Safety Act of 1968 Amendments,1974-06-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223964
Joint Economic Committee - Neutral,3142223988,Recent Developments in U.S. Energy Policy,1974-12-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223988
Joint Economic Committee; Neutral,3142223992,FEA and Competition in the Oil Industry,1974-06-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223992
U.S. Senate Committee on Commerce - Neutral,3142224013,Miscellaneous Wildlife Legislation,1974-04-11,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224013
United Mine Workers of America; positive sentiment.,3142224021,Oversight Hearing on Brookside Mine Labor-Management Dispute,1974-07-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224021
U.S. Department of Agriculture; positive sentiment about conservation programs.,3142224034,Implementation of Conservation Programs: REAP and RECP,1974-06-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224034
"National Ocean Policy Study Subcommittee, positive sentiment.",3142224039,State Role in Outer Continental Shelf Development:  The California Experience,1974-09-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224039
Permanent Select Committee on Small Business - Neutral,3142224045,Phase IV Oil Regulations and Petroleum Marketing Problems,1973-09-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224045
Solid Waste Disposal Act Extension - 1974; sentiment is neutral.,3142224046,Solid Waste Disposal Act Extension-1974,1974-03-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224046
Joint Committee on Atomic Energy - Neutral,3142224047,Possible Modification or Extension of the Price-Anderson Insurance and Indemnity Act  Phase I: Review,1974-01-31,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224047
"Joint Economic Committee, positive sentiment.",3142224048,Economic Impact of Environmental Regulations,1974-11-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224048
U.S. Senate Committee on Public Works - Neutral,3142224071,River Basin Authorizations and Related Water Resource Projects,1973-04-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224071
Public Works for Water and Power Development and Atomic Energy Commission - Neutral,3142224072,"Public Works for Water and Power Development and Atomic Energy Commission Appropriations, FY74,  Part 5",1973-05-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224072
Franchised Petroleum Dealers; neutral,3142224074,Franchised Petroleum Dealers,1974-09-20,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224074
National Aeronautics and Space Administration (NASA) - Neutral,3142224084,Solar Heating And Cooling,1974-02-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224084
U.S. Senate Committee on Agriculture and Forestry; positive sentiment.,3142224089,Farm Fuel Situation,1974-03-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224089
United States Senate Committee on Commerce; neutral,3142224099,Consumer Energy Act of 1974  Part 5: Appendix,1974-01-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224099
"Federal Energy Office, Executive Office of the President - neutral",3142224122,Standby Energy Emergency Authorities Act,1974-04-02,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224122
Joint Economic Committee - Neutral,3142224133,Kissinger-Simon Proposals for Financing Oil Imports,1974-11-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224133
Solar Home Heating and Cooling Demonstration Act of 1973 - Positive sentiment,3142224146,Solar Home Heating And Cooling Demonstration Act of 1973,1974-03-29,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224146
"Federal Power Commission, neutral",3142224149,Public Utility Industry,1974-12-04,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224149
Environmental Protection Agency (EPA) - Positive sentiment about its role in air quality protection.,3142224155,Nondegradation Policy of the Clean Air Act,1973-07-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224155
U.S. GOVERNMENT PRINTING OFFICE; neutral,3142224162,Meeting America's Resource Needs: Problems and Policies,1974-10-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224162
U.S. Senate Committee on Commerce; positive sentiment.,3142224164,Energy Waste and Energy Efficiency in Industrial and Commercial Activities,1974-05-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224164
none,3142224169,Profitability of Domestic Energy Company Operations,1974-02-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224169
U.S. Senate Committee on Commerce; neutral,3142224171,Transportation of Hazardous Materials,1974-06-12,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224171
Economic Opportunity Act of 1964 - Positive sentiment about its amendments for emergency energy conservation services for the poor.,3142224189,Emergency Energy Conservation Economic Opportunity Amendments of 1974,1974-06-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224189
Noxious Weed Act; positive sentiment about its intent to control and eradicate noxious weeds.,3142224202,Noxious Weed Act,1974-10-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224202
none,3142224224,Energy Transportation Security Act of 1974,1974-05-20,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224224
Environmental Protection Agency; mixed sentiment.,3142224234,Oversight: Clean Air Act,1974-09-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224234
"Federal Power Commission, negative sentiment.",3142224268,Federal Power Commission Oversight-Wellhead Pricing,1974-02-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224268
Joint Economic Committee - Neutral,3142224277,Gas and Electric Rates,1974-03-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224277
"Joint Economic Committee, positive sentiment.",3142224314,Gasoline Distribution,1974-03-12,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224314
Joint Economic Committee - Neutral,3142224340,Outlook for Prices and Supplies of Industrial Raw Materials,1974-07-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224340
U.S. Senate Committee on Public Works; neutral,3142224341,The Administration's Proposal for Relaxation of Air Pollution Standards,1973-09-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224341
"U.S. Senate Committee on Commerce, Subcommittee for Consumers - Neutral",3142224361,Natural Gas Supply for Utah,1974-08-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224361
"National Ocean Policy Study, positive",3142224372,Oil and Gas Development and Coastal Zone Management,1974-04-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224372
Public Works for Water and Power Development and Atomic Energy Commission - Neutral,3142224379,"Public Works for Water and Power Development and Atomic Energy Commission Appropriations, FY74,  Part 6",1973-05-21,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224379
U.S. Environmental Protection Agency; mixed sentiment.,3142224446,Pesticide Oversight,1974-08-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224446
none,3142224452,International Petrodollar Crisis,1974-07-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224452
Joint Committee on Atomic Energy - Neutral,3142224467,"Development, Growth, and State of the Nuclear Industry",1974-02-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224467
U.S. GOVERNMENT PRINTING OFFICE; sentiment is neutral.,3142224483,Oil Imports and Energy Security,1974-08-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224483
Office of Saline Water; positive sentiment.,3142224537,Saline Water Program (Research and Development),1958-04-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224537
Metropolitan Sanitary District of Greater Chicago; neutral,3142224600,Lake Michigan Water Diversion,1957-03-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224600
United States and Pacific Gas & Electric Co. - Neutral,3142224631,Joint Development Proposal for Trinity Power Facilities,1958-01-20,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224631
Tennessee Valley Authority (TVA) - Neutral,3142224652,Amending the TVA Act,1957-04-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224652
Committee on Merchant Marine and Fisheries; positive sentiment.,3142224718,Miscellaneous Fish and Wildlife Bills,1958-06-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224718
Department of the Interior; neutral,3142224766,Interior Department and Related Agencies Appropriations for 1958,1957-03-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224766
"NATIONAL WILDERNESS PRESERVATION ACT, positive sentiment",3142224873,National Wilderness Preservation Act.  Part 2,1958-11-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224873
Tennessee Valley Authority; neutral,3142224899,Tennessee Valley Authority Financing,1957-03-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224899
Navajo Indian Irrigation Project - Neutral,3142224920,Navajo Irrigation -- San Juan-Chama Diversion,1958-07-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224920
United States Senate Committee on Interstate and Foreign Commerce - Neutral,3142224946,Fisheries Legislation and North Pacific Fisheries Problems,1957-10-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142224946
NATIONAL MILK SANITATION ACT OF 1957 - Positive,3142225179,National Milk Sanitation Act of 1957,1958-04-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142225179
